customer_id,gender,age,gender_encoded,vehicle_type,vehicle_type_encoded,registration_date,last_service_date,avg_service_interval_days,total_services,monthly_spend_inr,city,customer_tenure_days,churned,churn_date,tenure_months,days_since_last_service,service_frequency,spend_per_service
CUST00001,Male,31,1,Four-wheeler,1,2019-08-18,2021-06-11,140,5,3596.94,Pune,663,1,2021-06-23,22,20,0.22624424151844275,599.49
CUST00002,Female,35,0,Two-wheeler,0,2017-02-01,2021-06-10,53,30,961.55,Pune,1590,0,,53,21,0.5660376290495039,31.01774193548387
CUST00003,Female,43,0,Two-wheeler,0,2016-04-23,2021-06-03,58,33,958.91,Pune,1867,1,2021-06-25,62,28,0.5302623679278465,28.203235294117647
CUST00004,Male,38,1,Two-wheeler,0,2020-11-10,2021-03-09,119,1,1654.97,Pune,119,1,2021-05-10,3,114,0.25210020478939965,827.485
CUST00005,Male,27,1,Two-wheeler,0,2020-11-08,2021-06-16,94,3,2049.92,Pune,220,0,,7,15,0.40909035124043014,512.48
CUST00006,Male,50,1,Two-wheeler,0,2018-12-23,2021-02-28,133,6,1061.29,Pune,798,0,,26,123,0.22556382497600563,151.61285714285714
CUST00007,Male,40,1,Two-wheeler,0,2019-05-21,2021-05-16,121,6,1814.64,Pune,726,0,,24,46,0.2479337818455447,259.2342857142857
CUST00008,Female,36,0,Two-wheeler,0,2016-05-25,2021-04-22,163,11,1283.1,Pune,1793,0,,59,70,0.18404904896000296,106.925
CUST00009,Male,42,1,Two-wheeler,0,2016-03-18,2021-02-24,164,11,1829.28,Pune,1804,0,,60,127,0.18292679884809332,152.44
CUST00010,Female,56,0,Four-wheeler,1,2017-03-25,2021-06-19,86,19,3773.28,Pune,1547,0,,51,12,0.3684550028852612,188.66400000000002
CUST00011,Male,35,1,Two-wheeler,0,2018-06-20,2021-06-18,45,26,1562.12,Pune,1094,0,,36,13,0.7129796947953304,57.85629629629629
CUST00012,Female,25,0,Four-wheeler,1,2016-06-22,2021-05-31,164,11,2766.24,Pune,1804,0,,60,31,0.18292679884809332,230.51999999999998
CUST00013,Female,27,0,Two-wheeler,0,2018-09-12,2021-05-19,140,7,1772.47,Pune,980,0,,32,43,0.2142856486880667,221.55875
CUST00014,Male,44,1,Two-wheeler,0,2018-01-12,2021-06-30,37,36,1700.81,Pune,1265,1,2021-06-23,42,1,0.853754738239983,45.967837837837834
CUST00015,Male,37,1,Two-wheeler,0,2017-02-22,2020-12-29,74,19,1664.17,Pune,1406,1,2021-02-09,46,184,0.40540531890355924,83.2085
CUST00016,Male,44,1,Two-wheeler,0,2019-12-04,2020-12-19,127,3,1578.27,Pune,381,1,2021-02-25,12,194,0.23622028644071935,394.5675
CUST00017,Male,31,1,Two-wheeler,0,2019-09-07,2021-06-16,108,6,1148.49,Pune,648,1,2021-06-20,21,15,0.27777764917701425,164.07
CUST00018,Male,34,1,Four-wheeler,1,2017-11-23,2021-06-02,33,39,3933.19,Pune,1287,0,,42,29,0.9090906971816556,98.32975
CUST00019,Male,45,1,Two-wheeler,0,2018-09-09,2021-06-20,119,10,1859.26,Pune,1015,0,,33,11,0.2955664151035226,169.02363636363637
CUST00020,Male,60,1,Four-wheeler,1,2019-05-24,2021-04-11,172,4,3069.83,Pune,688,1,2021-06-19,22,81,0.17441852859657184,613.966
CUST00021,Male,64,1,Four-wheeler,1,2019-11-04,2021-05-06,61,9,4025.72,Pune,549,0,,18,56,0.4918030099437104,402.572
CUST00022,Male,45,1,Two-wheeler,0,2017-11-08,2021-03-24,88,14,1552.67,Pune,1232,0,,41,99,0.34090900789553374,103.51133333333334
CUST00023,Male,51,1,Two-wheeler,0,2017-07-29,2021-02-27,119,11,1551.65,Pune,1309,0,,43,124,0.2521007825590261,129.30416666666667
CUST00024,Male,29,1,Four-wheeler,1,2021-04-15,2021-06-09,55,1,3429.46,Pune,55,0,,1,22,0.5454515702641622,1714.73
CUST00025,Male,35,1,Two-wheeler,0,2020-09-12,2021-06-09,54,5,1468.8,Pune,270,0,,9,22,0.5555549382722909,244.79999999999998
CUST00026,Female,26,0,Two-wheeler,0,2021-04-21,2021-06-18,40,3,2048.36,Pune,58,0,,1,13,1.5517161118132148,512.09
CUST00027,Male,36,1,Four-wheeler,1,2017-08-31,2021-06-16,133,11,3913.23,Pune,1385,0,,46,15,0.23826709640423904,326.1025
CUST00028,Male,42,1,Two-wheeler,0,2019-09-18,2021-06-27,81,8,1904.74,Pune,648,0,,21,4,0.3703701989026857,211.63777777777779
CUST00029,Male,45,1,Four-wheeler,1,2020-10-02,2021-02-10,131,1,3573.83,Pune,131,1,2021-03-13,4,141,0.2290071091440249,1786.915
CUST00030,Male,40,1,Four-wheeler,1,2019-07-22,2021-01-04,76,7,3855.67,Pune,532,0,,17,178,0.39473661950942507,481.95875
CUST00031,Male,41,1,Two-wheeler,0,2019-01-20,2021-04-24,55,15,1166.27,Pune,825,0,,27,68,0.5454543471075102,72.891875
CUST00032,Male,26,1,Two-wheeler,0,2018-08-07,2021-06-30,83,14,1733.38,Pune,1058,1,2021-06-25,35,1,0.39697531276692455,115.55866666666667
CUST00033,Male,33,1,Two-wheeler,0,2017-05-10,2021-06-14,44,34,1438.6,Pune,1496,0,,49,17,0.6818180450899641,41.10285714285714
CUST00034,Female,34,0,Two-wheeler,0,2018-05-26,2021-04-10,75,14,676.08,Pune,1050,0,,35,82,0.3999998857143183,45.072
CUST00035,Female,26,0,Two-wheeler,0,2017-08-07,2021-06-13,163,9,865.56,Pune,1406,0,,46,18,0.19203409842800173,86.556
CUST00036,Female,28,0,Four-wheeler,1,2020-06-17,2021-01-17,107,2,3234.81,Pune,214,1,2021-02-26,7,165,0.2803734387288242,1078.27
CUST00037,Male,27,1,Two-wheeler,0,2021-03-14,2021-05-28,75,1,1666.06,Pune,75,1,2021-06-09,2,34,0.39999840000639997,833.03
CUST00038,Male,42,1,Two-wheeler,0,2018-10-27,2021-05-29,35,27,1235.17,Pune,945,0,,31,33,0.8571425850341,44.113214285714285
CUST00039,Male,48,1,Four-wheeler,1,2018-06-12,2021-06-19,122,10,3263.55,Pune,1103,0,,36,12,0.27198542013089205,296.68636363636364
